p,d,q,AIC
2,0,6,32151.387974503108
4,0,6,32153.070302764725
6,0,0,32159.120059946217
0,0,6,32159.994262111773
6,0,1,32160.900267938403
2,0,5,32160.92234306896
1,0,5,32161.49364286311
6,0,2,32162.91209049688
6,1,1,32163.377732184414
0,1,6,32170.275801408337
1,0,6,32172.864461542697
5,1,2,32172.90810852126
1,1,6,32173.26134402452
5,0,0,32173.45752160836
3,1,4,32174.051536920233
3,0,4,32174.556557617267
5,0,1,32175.46794641819
0,0,5,32179.60806740961
4,1,2,32182.613911158478
4,0,1,32182.623272145534
3,0,3,32184.517380448968
4,1,1,32185.2498774782
1,1,3,32185.297917095544
1,0,3,32186.078123836123
4,0,0,32186.078379419156
4,0,3,32186.87572158064
2,0,3,32188.04263372474
3,0,5,32188.34167219195
5,0,5,32191.934109622624
3,1,2,32193.93458751702
3,0,1,32194.574110335303
3,0,0,32196.731139680465
1,0,2,32198.74782800236
2,0,2,32198.820791980164
4,0,5,32202.62666841053
0,1,5,32204.262040071008
2,0,0,32208.075003545804
2,1,1,32208.42223539202
2,0,1,32209.5841391586
0,0,4,32214.773956925423
1,1,2,32216.088131786106
3,1,3,32218.67823829657
1,0,1,32229.72960246086
4,1,6,32239.33938512156
1,0,4,32244.393875480746
0,1,4,32245.43081448438
6,0,6,32249.361548145356
6,0,5,32254.98848917182
6,1,6,32255.679683857867
0,0,3,32258.365863370356
5,0,4,32268.539311047418
2,1,3,32280.04625479212
6,0,4,32282.498185303462
5,1,6,32287.876681331752
1,1,5,32291.97033841885
3,0,6,32301.235260520203
2,0,4,32303.816409357667
0,1,3,32312.139091658795
5,0,3,32332.625652304167
5,1,5,32344.701784569865
3,1,5,32354.916821747123
6,1,2,32355.834807435815
0,0,2,32357.27441657811
2,1,2,32369.72901452663
1,1,1,32371.61990033836
1,0,0,32380.33639725431
6,1,0,32386.35760459578
6,2,1,32390.368391559008
3,0,2,32402.239244223572
5,1,0,32417.98168932432
5,2,1,32423.15779106637
4,1,3,32426.173729614144
0,1,2,32438.353228830303
4,0,4,32439.892475369896
0,2,2,32451.88045471037
4,2,1,32451.989052301215
4,1,0,32453.934764902187
5,2,2,32453.945758178917
4,1,5,32458.44962613267
0,1,1,32462.900598765737
1,2,3,32469.6549130153
5,0,6,32474.095352013188
5,0,2,32497.484298195748
3,1,0,32508.45091992781
3,2,1,32510.44863047442
2,1,4,32523.39024259878
1,1,4,32529.938625884373
3,1,6,32538.803375208317
2,1,0,32556.285903024076
2,2,1,32557.952667574264
2,1,5,32585.358734112862
2,1,6,32591.147039964046
1,2,1,32623.751389485893
1,1,0,32635.054766677233
6,2,2,32643.76675605669
0,0,1,32658.399200544205
6,1,5,32694.72297254881
5,1,4,32698.41882401882
5,1,3,32729.204634699767
4,1,4,32739.31004992087
6,1,4,32742.24193122126
6,2,3,32751.19116008898
2,2,4,32796.2844034608
5,2,3,32804.63744432539
6,1,3,32823.39576416174
3,2,6,32828.023002817135
4,2,6,32892.82476339066
6,2,6,32916.84421103916
3,2,5,32931.17362701346
0,2,3,32934.87884389315
5,2,5,32944.21033457135
3,2,2,32949.13430909092
1,2,6,32955.1244929863
2,2,6,32956.1404791056
3,2,3,32957.007722443945
0,2,6,32963.12685062892
5,2,6,32964.16152480754
5,2,4,32982.093909998985
4,2,4,32984.40137752202
4,2,3,32997.975632415575
1,2,4,33010.7243105057
6,2,5,33011.26493760402
4,2,5,33018.22587992385
2,2,5,33026.725775367595
4,2,2,33031.59409258941
0,2,5,33039.40101860628
1,2,5,33039.46621512118
2,2,2,33047.67609133781
3,2,4,33078.72130504431
6,2,0,33081.434470985936
6,2,4,33087.094885783314
0,2,4,33093.91434649522
2,2,3,33127.44392321091
0,0,0,33138.08626405195
5,2,0,33216.19403641917
0,2,1,33224.56157302309
0,1,0,33232.98766816767
1,2,2,33264.66778621399
4,2,0,33369.29186190443
3,2,0,33612.37550552171
2,2,0,33908.49225598523
1,2,0,34529.20913129364
0,2,0,36273.43610831167
6,0,3,37789.940538333576
4,0,2,68133.19959718062
3,1,1,
5,1,1,
